issue,prize,hundred,ten,unit
2021001,326,3,2,6
2021002,355,3,5,5
2021003,880,8,8,0
2021004,501,5,0,1
2021005,633,6,3,3
2021006,908,9,0,8
2021007,901,9,0,1
2021008,647,6,4,7
2021009,231,2,3,1
2021010,743,7,4,3
2021011,960,9,6,0
2021012,906,9,0,6
2021013,887,8,8,7
2021014,790,7,9,0
2021015,659,6,5,9
2021016,223,2,2,3
2021017,001,0,0,1
2021018,468,4,6,8
2021019,252,2,5,2
2021020,398,3,9,8
2021021,972,9,7,2
2021022,963,9,6,3
2021023,840,8,4,0
2021024,342,3,4,2
2021025,859,8,5,9
2021026,426,4,2,6
2021027,023,0,2,3
2021028,790,7,9,0
2021029,865,8,6,5
2021030,225,2,2,5
2021031,714,7,1,4
2021032,373,3,7,3
2021033,452,4,5,2
2021034,534,5,3,4
2021035,546,5,4,6
2021036,956,9,5,6
2021037,161,1,6,1
2021038,492,4,9,2
2021039,675,6,7,5
2021040,341,3,4,1
2021041,992,9,9,2
2021042,956,9,5,6
2021043,054,0,5,4
2021044,269,2,6,9
2021045,252,2,5,2
2021046,047,0,4,7
2021047,626,6,2,6
2021048,945,9,4,5
2021049,603,6,0,3
2021050,460,4,6,0
2021051,730,7,3,0
2021052,986,9,8,6
2021053,954,9,5,4
2021054,125,1,2,5
2021055,607,6,0,7
2021056,622,6,2,2
2021057,257,2,5,7
2021058,972,9,7,2
2021059,636,6,3,6
2021060,655,6,5,5
2021061,368,3,6,8
2021062,446,4,4,6
2021063,673,6,7,3
2021064,626,6,2,6
2021065,642,6,4,2
2021066,523,5,2,3
2021067,170,1,7,0
2021068,045,0,4,5
2021069,719,7,1,9
2021070,988,9,8,8
2021071,655,6,5,5
2021072,562,5,6,2
2021073,173,1,7,3
2021074,279,2,7,9
2021075,068,0,6,8
2021076,018,0,1,8
2021077,710,7,1,0
2021078,686,6,8,6
2021079,959,9,5,9
2021080,645,6,4,5
2021081,241,2,4,1
2021082,227,2,2,7
2021083,676,6,7,6
2021084,493,4,9,3
2021085,996,9,9,6
2021086,263,2,6,3
2021087,866,8,6,6
2021088,304,3,0,4
2021089,245,2,4,5
2021090,678,6,7,8
2021091,472,4,7,2
2021092,870,8,7,0
2021093,431,4,3,1
2021094,569,5,6,9
2021095,952,9,5,2
2021096,593,5,9,3
2021097,816,8,1,6
2021098,302,3,0,2
2021099,491,4,9,1
2021100,276,2,7,6
2021101,786,7,8,6
2021102,116,1,1,6
2021103,833,8,3,3
2021104,906,9,0,6
2021105,638,6,3,8
2021106,733,7,3,3
2021107,264,2,6,4
2021108,553,5,5,3
2021109,172,1,7,2
2021110,234,2,3,4
2021111,838,8,3,8
2021112,451,4,5,1
2021113,032,0,3,2
2021114,713,7,1,3
2021115,834,8,3,4
2021116,414,4,1,4
2021117,923,9,2,3
2021118,694,6,9,4
2021119,136,1,3,6
2021120,686,6,8,6
2021121,080,0,8,0
2021122,853,8,5,3
2021123,822,8,2,2
2021124,492,4,9,2
2021125,919,9,1,9
2021126,813,8,1,3
2021127,449,4,4,9
2021128,689,6,8,9
2021129,793,7,9,3
2021130,172,1,7,2
2021131,223,2,2,3
2021132,741,7,4,1
2021133,532,5,3,2
2021134,216,2,1,6
2021135,505,5,0,5
2021136,469,4,6,9
2021137,685,6,8,5
2021138,928,9,2,8
2021139,649,6,4,9
2021140,132,1,3,2
2021141,103,1,0,3
2021142,197,1,9,7
2021143,386,3,8,6
2021144,074,0,7,4
2021145,245,2,4,5
2021146,901,9,0,1
2021147,257,2,5,7
2021148,215,2,1,5
2021149,878,8,7,8
2021150,301,3,0,1
2021151,826,8,2,6
2021152,348,3,4,8
2021153,368,3,6,8
2021154,591,5,9,1
2021155,217,2,1,7
2021156,732,7,3,2
2021157,219,2,1,9
2021158,905,9,0,5
2021159,237,2,3,7
2021160,958,9,5,8
2021161,762,7,6,2
2021162,793,7,9,3
2021163,611,6,1,1
2021164,137,1,3,7
2021165,506,5,0,6
2021166,810,8,1,0
2021167,665,6,6,5
2021168,946,9,4,6
2021169,116,1,1,6
2021170,499,4,9,9
2021171,465,4,6,5
