issue,prize,hundred,ten,unit
2012001,003,0,0,3
2012002,409,4,0,9
2012003,181,1,8,1
2012004,989,9,8,9
2012005,609,6,0,9
2012006,364,3,6,4
2012007,682,6,8,2
2012008,824,8,2,4
2012009,316,3,1,6
2012010,039,0,3,9
2012011,914,9,1,4
2012012,413,4,1,3
2012013,349,3,4,9
2012014,085,0,8,5
2012015,234,2,3,4
2012016,765,7,6,5
2012017,515,5,1,5
2012018,465,4,6,5
2012019,855,8,5,5
2012020,019,0,1,9
2012021,138,1,3,8
2012022,644,6,4,4
2012023,741,7,4,1
2012024,334,3,3,4
2012025,997,9,9,7
2012026,833,8,3,3
2012027,006,0,0,6
2012028,689,6,8,9
2012029,779,7,7,9
2012030,665,6,6,5
2012031,988,9,8,8
2012032,503,5,0,3
2012033,127,1,2,7
2012034,741,7,4,1
2012035,274,2,7,4
2012036,034,0,3,4
2012037,443,4,4,3
2012038,528,5,2,8
2012039,855,8,5,5
2012040,818,8,1,8
2012041,341,3,4,1
2012042,841,8,4,1
2012043,352,3,5,2
2012044,683,6,8,3
2012045,421,4,2,1
2012046,373,3,7,3
2012047,496,4,9,6
2012048,833,8,3,3
2012049,044,0,4,4
2012050,778,7,7,8
2012051,467,4,6,7
2012052,841,8,4,1
2012053,535,5,3,5
2012054,057,0,5,7
2012055,066,0,6,6
2012056,143,1,4,3
2012057,691,6,9,1
2012058,259,2,5,9
2012059,346,3,4,6
2012060,424,4,2,4
2012061,713,7,1,3
2012062,350,3,5,0
2012063,773,7,7,3
2012064,831,8,3,1
2012065,363,3,6,3
2012066,084,0,8,4
2012067,422,4,2,2
2012068,925,9,2,5
2012069,721,7,2,1
2012070,300,3,0,0
2012071,613,6,1,3
2012072,998,9,9,8
2012073,464,4,6,4
2012074,276,2,7,6
2012075,989,9,8,9
2012076,078,0,7,8
2012077,412,4,1,2
2012078,660,6,6,0
2012079,010,0,1,0
2012080,772,7,7,2
2012081,399,3,9,9
2012082,990,9,9,0
2012083,688,6,8,8
2012084,238,2,3,8
2012085,478,4,7,8
2012086,716,7,1,6
2012087,684,6,8,4
2012088,535,5,3,5
2012089,221,2,2,1
2012090,682,6,8,2
2012091,835,8,3,5
2012092,739,7,3,9
2012093,671,6,7,1
2012094,608,6,0,8
2012095,956,9,5,6
2012096,749,7,4,9
2012097,682,6,8,2
2012098,611,6,1,1
2012099,105,1,0,5
2012100,489,4,8,9
2012101,377,3,7,7
2012102,955,9,5,5
2012103,273,2,7,3
2012104,388,3,8,8
2012105,542,5,4,2
2012106,682,6,8,2
2012107,269,2,6,9
2012108,399,3,9,9
2012109,241,2,4,1
2012110,704,7,0,4
2012111,461,4,6,1
2012112,750,7,5,0
2012113,432,4,3,2
2012114,079,0,7,9
2012115,029,0,2,9
2012116,471,4,7,1
2012117,042,0,4,2
2012118,804,8,0,4
2012119,836,8,3,6
2012120,469,4,6,9
2012121,670,6,7,0
2012122,474,4,7,4
2012123,622,6,2,2
2012124,901,9,0,1
2012125,678,6,7,8
2012126,281,2,8,1
2012127,205,2,0,5
2012128,178,1,7,8
2012129,921,9,2,1
2012130,211,2,1,1
2012131,586,5,8,6
2012132,626,6,2,6
2012133,638,6,3,8
2012134,049,0,4,9
2012135,569,5,6,9
2012136,720,7,2,0
2012137,882,8,8,2
2012138,384,3,8,4
2012139,719,7,1,9
2012140,044,0,4,4
2012141,250,2,5,0
2012142,967,9,6,7
2012143,990,9,9,0
2012144,278,2,7,8
2012145,856,8,5,6
2012146,728,7,2,8
2012147,568,5,6,8
2012148,524,5,2,4
2012149,940,9,4,0
2012150,598,5,9,8
2012151,613,6,1,3
2012152,739,7,3,9
2012153,383,3,8,3
2012154,206,2,0,6
2012155,895,8,9,5
2012156,440,4,4,0
2012157,599,5,9,9
2012158,772,7,7,2
2012159,957,9,5,7
2012160,970,9,7,0
2012161,532,5,3,2
2012162,243,2,4,3
2012163,693,6,9,3
2012164,718,7,1,8
2012165,046,0,4,6
2012166,862,8,6,2
2012167,289,2,8,9
2012168,651,6,5,1
2012169,720,7,2,0
2012170,788,7,8,8
2012171,735,7,3,5
2012172,437,4,3,7
2012173,597,5,9,7
2012174,218,2,1,8
2012175,058,0,5,8
2012176,400,4,0,0
2012177,018,0,1,8
2012178,357,3,5,7
2012179,145,1,4,5
2012180,990,9,9,0
2012181,693,6,9,3
2012182,456,4,5,6
2012183,795,7,9,5
2012184,169,1,6,9
2012185,460,4,6,0
2012186,673,6,7,3
2012187,962,9,6,2
2012188,638,6,3,8
2012189,418,4,1,8
2012190,313,3,1,3
2012191,584,5,8,4
2012192,576,5,7,6
2012193,269,2,6,9
2012194,159,1,5,9
2012195,213,2,1,3
2012196,993,9,9,3
2012197,546,5,4,6
2012198,112,1,1,2
2012199,849,8,4,9
2012200,282,2,8,2
2012201,790,7,9,0
2012202,102,1,0,2
2012203,176,1,7,6
2012204,361,3,6,1
2012205,978,9,7,8
2012206,608,6,0,8
2012207,790,7,9,0
2012208,757,7,5,7
2012209,227,2,2,7
2012210,574,5,7,4
2012211,427,4,2,7
2012212,144,1,4,4
2012213,681,6,8,1
2012214,321,3,2,1
2012215,038,0,3,8
2012216,775,7,7,5
2012217,871,8,7,1
2012218,170,1,7,0
2012219,935,9,3,5
2012220,099,0,9,9
2012221,335,3,3,5
2012222,240,2,4,0
2012223,360,3,6,0
2012224,540,5,4,0
2012225,453,4,5,3
2012226,010,0,1,0
2012227,721,7,2,1
2012228,081,0,8,1
2012229,461,4,6,1
2012230,644,6,4,4
2012231,763,7,6,3
2012232,147,1,4,7
2012233,250,2,5,0
2012234,611,6,1,1
2012235,460,4,6,0
2012236,929,9,2,9
2012237,049,0,4,9
2012238,097,0,9,7
2012239,071,0,7,1
2012240,063,0,6,3
2012241,502,5,0,2
2012242,968,9,6,8
2012243,145,1,4,5
2012244,453,4,5,3
2012245,232,2,3,2
